franchise,movie
The Hangover Trilogy,The Hangover Part III (2013)
The Hobbit (Film Trilogy),The Hobbit: An Unexpected Journey (2012)
The Hobbit (Film Trilogy),The Hobbit: The Desolation of Smaug (2013)
The Hobbit (Film Trilogy),The Hobbit: The Battle of the Five Armies (2014)
The Hunger Games (Franchise),The Hunger Games (2012)
The Hunger Games (Franchise),The Hunger Games: Catching Fire (2013)
The Hunger Games (Franchise),The Hunger Games: Mockingjay – Part 1 (2014)
The Hunger Games (Franchise),The Hunger Games: Mockingjay – Part 2 (2015)
The Hunger Games (Franchise),The Hunger Games: The Ballad of Songbirds & Snakes (2023)
The Incredibles (Franchise),The Incredibles (2004)
The Incredibles (Franchise),Incredibles 2 (2018)
The Karate Kid (Franchise),The Karate Kid (1984)
The Karate Kid (Franchise),The Karate Kid Part II (1986)
The Karate Kid (Franchise),The Karate Kid Part III (1989)
The Karate Kid (Franchise),The Next Karate Kid (1994)
The Karate Kid (Franchise),The Karate Kid (2010)
The Kissing Booth (Film Trilogy),The Kissing Booth (2018)
The Kissing Booth (Film Trilogy),The Kissing Booth 2 (2020)
The Kissing Booth (Film Trilogy),The Kissing Booth 3 (2021)
The Lego Movie (Franchise),The Lego Movie (2014)
The Lego Movie (Franchise),The Lego Batman Movie (2017)
The Lego Movie (Franchise),The Lego Ninjago Movie (2017)
The Lego Movie (Franchise),The Lego Movie 2: The Second Part (2019)
The Lion King (Franchise),The Lion King (1994)
The Lion King (Franchise),The Lion King II: Simba's Pride (1998)
The Lion King (Franchise),The Lion King 1½ (2004)
The Lion King (Franchise),The Lion King
The Lord of the Rings (Film Trilogy),The Lord of the Rings: The Fellowship of the Ring (2001)
The Lord of the Rings (Film Trilogy),The Lord of the Rings: The Two Towers (2002)
The Lord of the Rings (Film Trilogy),The Lord of the Rings: The Return of the King (2003)
The Maze Runner (Film Trilogy),The Maze Runner (2014)
The Maze Runner (Film Trilogy),Maze Runner: The Scorch Trials (2015)
The Maze Runner (Film Trilogy),Maze Runner: The Death Cure (2018)
The Mighty Ducks Trilogy,The Mighty Ducks (1992)
The Mighty Ducks Trilogy,D2: The Mighty Ducks (1994)
The Mighty Ducks Trilogy,D3: The Mighty Ducks (1996)
The Mummy (Franchise),The Mummy (1932)
The Mummy (Franchise),The Mummy's Hand (1940)
The Mummy (Franchise),The Mummy's Tomb (1942)
The Mummy (Franchise),The Mummy's Ghost (1944)
The Mummy (Franchise),The Mummy's Curse (1944)
The Mummy (Franchise),The Mummy (1999)
The Mummy (Franchise),The Mummy Returns (2001)
The Mummy (Franchise),The Mummy: Tomb of the Dragon Emperor (2008)
The Mummy (Franchise),The Scorpion King (2002)
The Mummy (Franchise),The Scorpion King 2: Rise of a Warrior (2008)
The Mummy (Franchise),The Scorpion King 3: Battle for Redemption (2012)
The Mummy (Franchise),The Scorpion King 4: Quest for Power (2015)
The Mummy (Franchise),The Scorpion King: Book of Souls (2018)
The Santa Clause (trilogy),The Santa Clause (1994)
The Santa Clause (trilogy),The Santa Clause 2 (2002)
The Spider-Man Trilogy (2002),Spider-Man (2002)
The Spider-Man Trilogy (2002),Spider-Man 2 (2004)
The Spider-Man Trilogy (2002),Spider-Man 3 (2007)
The Santa Clause (trilogy),The Santa Clause 3: The Escape Clause (2006)
The Texas Chainsaw Massacre (Franchise),The Texas Chain Saw Massacre (1974)
The Texas Chainsaw Massacre (Franchise),The Texas Chainsaw Massacre 2 (1986)
The Texas Chainsaw Massacre (Franchise),Leatherface: The Texas Chainsaw Massacre III (1990)
The Texas Chainsaw Massacre (Franchise),The Return of the Texas Chainsaw Massacre (1997)
The Texas Chainsaw Massacre (Franchise),The Texas Chainsaw Massacre (2003)
The Texas Chainsaw Massacre (Franchise),The Texas Chainsaw Massacre: The Beginning (2006)
The Texas Chainsaw Massacre (Franchise),Texas Chainsaw 3D (2013)
The Texas Chainsaw Massacre (Franchise),Leatherface (2017)
Three Colours trilogy,Three Colours: Blue (1993)
Three Colours trilogy,Three Colours: White (1994)
Three Colours trilogy,Three Colours: Red (1994)
To All the Boys (trilogy),To All the Boys I've Loved Before (2018)
