char,movie,mbti,votes
Bianca Stratford,10 Things I Hate About You (1999),ESFJ,907
"Beatrix Kiddo ""The Bride"" AKA Black Mamba",Kill Bill (2003),ISFP,907
Matilda Wormwood,Matilda (1996),INTJ,905
Violet Beauregarde,Charlie and the Chocolate Factory (2005),ENTJ,900
Humpty Alexander Dumpty,Shrek (Franchise),ENTP,900
Marty McFly,Back to the Future (Series),ESFP,897
"O-ren Ishii ""Cottonmouth""",Kill Bill (2003),ENTJ,894
Tsireya,Avatar (Franchise),ENFJ,893
Rico,Madagascar (Franchise),ESTP,893
Nick Fury,MCU,ENTJ,893
Christine “Ziggy” Berman,Fear Street (Franchise),ISTP,891
Edmund Pevensie,The Chronicles of Narnia (Film Trilogy),ISFP,891
Erik Lehnsherr/Magneto (First Class),X-Men Cinematic Universe (2011-2020),INTJ,891
Mathilda Lando,Léon: The Professional (1994),ESFP,889
"Pavitr Prabhakar ""Spider-Man India""",Spider-Man: Across the Spider-Verse (2023),ESFJ,889
Mal Bertha,Descendants (Franchise),ISFP,888
Boromir,The Lord of the Rings (Film Trilogy),ESFJ,887
Dr. Otto Octavius “Doctor Octopus”,The Spider-Man Trilogy (2002),INTJ,885
Greg Heffley,Diary of a Wimpy Kid (Series),ENTP,881
"Sidney ""Sid""",Ice Age (Franchise),ENFP,881
"William ""Will"" Turner, Jr.",Pirates of the Caribbean,ISFJ,881
The Man with No Name‎‎,The Dollars Trilogy,ISTP,881
Boba Fett,Star Wars,ISTP,880
Count Dooku,Star Wars,INTJ,879
Baron Helmut Zemo,MCU,INTJ,878
Ladybug,Bullet Train,ISFP,877
Katy Chen,MCU,ESFP,867
Silvermist,Tinker Bell (2008),INFP,867
Jules Winnfield,Pulp Fiction (1994),ENFJ,863
Wreck-It Ralph,Wreck-It Ralph (Franchise),ISFP,863
Cry Baby (K-12),K-12 (2019),INFP,862
Effie Trinket,The Hunger Games (Franchise),ESFJ,862
Go Go Tomago,Big Hero 6 (2014),ISTP,860
Ash,Fantastic Mr. Fox (2009),ISFP,860
Bing Bong,Inside Out (Franchise),ENFP,855
Fairy Godmother,Shrek (Franchise),ENTJ,855
The Evil Queen,Snow White and the Seven Dwarfs (1937),INTJ,855
Marta Cabrera,Knives Out (2019),ISFJ,853
Lucy Pevensie,The Chronicles of Narnia (Film Trilogy),INFP,853
Count Dracula,Hotel Transylvania (2012),ISTJ,850
Dr. Darcy Lewis,MCU,ENTP,849
Jill Roberts,Scream (Franchise),ENTJ,849
Beverly Marsh,It (2017),ISFP,846
Legolas Greenleaf,The Lord of the Rings (Film Trilogy),ISFP,844
Colette Tatou,Ratatouille (2007),ESTJ,840
Hercules,Hercules (franchise),ESFJ,839
"Katherine ""Kitty"" Song-Covey",To All the Boys (trilogy),ENFP,836
Dawn Bellwether,Zootopia (2016),INFJ,835
Tarzan,Tarzan (1999),ISTP,830
Lo'ak,Avatar (Franchise),ISFP,825
"Victor Perkins ""Vector""",Despicable Me (Franchise),ENTP,823
Quasimodo,The Hunchback of Notre Dame (1996),INFP,822
Theodore “Laurie” Laurence,Little Women (2019),ISFP,821
Ghostface,Scream (Franchise),ENTP,821
Erik Lehnsherr “Magneto”,X-Men Cinematic Universe (2000-2009),INTJ,821
Arthur Weasley,Harry Potter / Wizarding World Films,INTP,820
Johanna Mason,The Hunger Games (Franchise),ESTP,819
Jim Hawkins,Treasure Planet (2002),ISFP,819
"Dashiell ""Dash"" Robert Parr",The Incredibles (Franchise),ESTP,818
