,genre_ids,id,popularity,release_date,title,vote_average,vote_count
223,"[16, 10751, 12, 14, 35]",502356,192.789,2023-04-05,The Super Mario Bros. Movie,7.676,8455
224,"[16, 28, 12, 878]",569094,167.93,2023-05-31,Spider-Man: Across the Spider-Verse,8.362,6301
225,"[12, 878, 28]",299534,300.422,2019-04-24,Avengers: Endgame,8.254,24910
226,"[28, 16, 35, 10751]",268531,28.603,2017-06-01,Captain Underpants: The First Epic Movie,6.233,1149
227,"[10749, 14, 16]",3933,82.072,2005-09-12,Corpse Bride,7.553,8771
228,"[12, 28, 878]",11,565.814,1977-05-25,Star Wars,8.203,20039
229,"[35, 10749]",2642,19.044,2002-12-19,Two Weeks Notice,6.353,1975
230,"[35, 10749]",1049638,18.638,2023-03-17,Rye Lane,7.092,174
231,"[35, 10749]",508101,21.395,2019-06-14,Plus One,6.932,317
232,"[27, 18, 9648]",530385,63.508,2019-07-03,Midsommar,7.161,6748
233,"[18, 10749]",666277,70.909,2023-06-02,Past Lives,7.8,1304
234,"[10749, 35]",513576,20.988,2019-05-31,Always Be My Maybe,6.647,1282
235,"[18, 12, 878]",286217,95.269,2015-09-30,The Martian,7.685,19238
236,"[28, 878]",557,137.75,2002-05-01,Spider-Man,7.295,18430
237,"[12, 10751, 16, 28, 35]",177572,110.489,2014-10-24,Big Hero 6,7.735,15213
238,"[28, 878, 12]",1726,172.619,2008-04-30,Iron Man,7.644,25766
239,"[10751, 16, 878, 12]",10386,42.129,1999-08-06,The Iron Giant,7.942,5367
240,"[16, 28, 12, 878]",324857,93.601,2018-12-06,Spider-Man: Into the Spider-Verse,8.404,15030
241,"[16, 28, 12, 35, 10751, 878]",523777,33.4,2018-09-07,Next Gen,6.942,738
242,"[12, 35, 878]",105,115.403,1985-07-03,Back to the Future,8.317,19323
243,"[18, 10749, 878]",274870,263.639,2016-12-21,Passengers,6.945,12889
244,[],555879,3.286,1998-12-31,Matrix,6.9,26
245,"[16, 18]",83389,27.066,2011-07-16,From Up on Poppy Hill,7.529,1672
246,"[35, 28, 80]",453127,13.3,2017-08-09,Midnight Runners,7.495,199
247,"[36, 18]",1187743,17.353,2023-12-25,GomBurZa,5.5,2
248,"[14, 16, 12]",4935,103.304,2004-09-09,Howl's Moving Castle,8.408,9466
249,"[16, 10751, 14]",57737,15.984,2011-03-01,Barbie: A Fairy Secret,6.799,478
250,"[14, 16, 12]",4935,103.304,2004-09-09,Howl's Moving Castle,8.408,9466
251,"[18, 35]",20453,55.454,2009-12-23,3 Idiots,7.991,2275
252,"[14, 16, 12]",4935,103.304,2004-09-09,Howl's Moving Castle,8.408,9466
253,"[16, 10751, 12, 14]",109445,108.0,2013-11-20,Frozen,7.247,16096
254,"[16, 35, 10751, 14]",568124,150.275,2021-10-13,Encanto,7.606,9173
255,[35],673593,132.424,2024-01-10,Mean Girls,6.104,381
256,"[16, 28, 14]",810693,75.236,2021-12-24,Jujutsu Kaisen 0,8.195,1288
257,"[16, 28, 14]",810693,75.236,2021-12-24,Jujutsu Kaisen 0,8.195,1288
258,"[35, 10749]",8835,72.016,2001-07-13,Legally Blonde,6.758,3823
259,[99],435092,3.571,2015-07-01,Birdman,3.167,5
260,"[18, 36, 10752]",857,91.463,1998-07-24,Saving Private Ryan,8.214,15328
261,"[12, 18, 878]",157336,492.112,2014-11-05,Interstellar,8.434,34412
262,"[18, 10749]",453,99.537,2001-12-14,A Beautiful Mind,7.857,9914
263,"[18, 36, 10752]",424,77.039,1993-12-15,Schindler's List,8.567,15408
264,"[878, 28, 53]",180,37.519,2002-06-20,Minority Report,7.347,8405
265,"[18, 80]",278,116.038,1994-09-23,The Shawshank Redemption,8.705,26218
266,"[35, 18]",840430,85.616,2023-10-27,The Holdovers,7.722,1232
267,"[35, 18, 10749]",13,177.031,1994-06-23,Forrest Gump,8.5,26656
268,"[18, 28, 80, 53]",155,95.154,2008-07-16,The Dark Knight,8.515,31977
269,"[12, 14, 28]",121,84.044,2002-12-18,The Lord of the Rings: The Two Towers,8.395,21190
270,"[35, 10749]",8835,72.016,2001-07-13,Legally Blonde,6.758,3823
271,"[18, 10749]",4348,64.805,2005-09-16,Pride & Prejudice,8.08,7785
272,"[28, 35, 18, 53]",787,41.661,2005-06-07,Mr. & Mrs. Smith,6.683,10028
273,"[28, 53, 878]",280,118.303,1991-07-03,Terminator 2: Judgment Day,8.115,12404
274,"[35, 10749]",556678,35.881,2020-02-13,Emma.,7.045,1655
275,"[12, 14]",674,112.931,2005-11-16,Harry Potter and the Goblet of Fire,7.8,20111
276,"[28, 80, 53]",10498,14.072,1993-03-19,Point of No Return,6.231,670
277,[],555879,3.286,1998-12-31,Matrix,6.9,26
278,"[878, 12, 14]",70160,30.457,2012-03-12,The Hunger Games,7.207,21469
279,"[16, 10751, 12, 18, 35]",150540,262.609,2015-06-09,Inside Out,7.914,20361
280,"[10751, 16, 14, 12, 35, 10402]",136799,67.392,2016-10-13,Trolls,6.657,3476
281,"[35, 10749]",8835,72.016,2001-07-13,Legally Blonde,6.758,3823
282,"[10749, 18]",222935,35.466,2014-05-16,The Fault in Our Stars,7.596,10919
283,"[35, 10402, 10749]",114150,42.517,2012-09-28,Pitch Perfect,7.292,6392
284,"[14, 16, 10751]",51739,42.259,2010-07-16,The Secret World of Arrietty,7.657,2712
285,"[35, 12]",346698,630.671,2023-07-19,Barbie,7.057,8324
286,"[16, 35, 10751, 14, 10749]",976573,198.653,2023-06-14,Elemental,7.661,4042
287,"[35, 10749]",1824,42.873,2004-02-13,50 First Dates,6.861,6966
288,"[28, 12, 878, 53]",135397,117.201,2015-06-06,Jurassic World,6.687,19957
289,"[16, 28, 12, 878, 14]",768744,64.406,2021-08-06,My Hero Academia: World Heroes' Mission,7.573,489
290,"[12, 14]",671,152.846,2001-11-16,Harry Potter and the Philosopher's Stone,7.913,26583
