,genre_ids,id,popularity,release_date,title,vote_average,vote_count
186,"[12, 14]",671,200.839,2001-11-16,Harry Potter and the Philosopher's Stone,7.913,26545
187,"[14, 16, 12]",4935,110.525,2004-09-09,Howl's Moving Castle,8.409,9443
188,[18],84892,39.28,2012-09-20,The Perks of Being a Wallflower,7.791,10176
189,"[80, 53, 18]",475557,575.209,2019-10-01,Joker,8.161,24579
190,[35],673593,155.458,2024-01-10,Mean Girls,6.115,375
191,"[35, 10749, 18]",4951,55.977,1999-03-30,10 Things I Hate About You,7.6,7782
192,"[16, 10751, 35, 28, 878]",519182,128.719,2024-06-27,Despicable Me 4,0.0,0
193,"[28, 12, 14]",284052,436.23,2016-10-25,Doctor Strange,7.423,21584
194,"[12, 35, 10751, 14]",118,105.767,2005-07-13,Charlie and the Chocolate Factory,7.052,14721
195,"[16, 10751, 14]",129,123.774,2001-07-20,Spirited Away,8.537,15914
196,"[28, 80]",495764,75.459,2020-02-05,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),6.931,9981
197,"[12, 10751, 16, 28, 35]",177572,131.083,2014-10-24,Big Hero 6,7.734,15203
198,"[35, 10749]",556678,51.657,2020-02-13,Emma.,7.0,1653
199,"[16, 10751]",38757,124.861,2010-11-24,Tangled,7.6,11057
200,"[12, 878, 28]",299534,240.886,2019-04-24,Avengers: Endgame,8.255,24867
201,"[16, 10751, 12]",10674,97.964,1998-06-18,Mulan,7.913,9308
202,"[16, 35, 10751, 14]",568124,150.981,2021-10-13,Encanto,7.6,9159
203,"[878, 12, 14]",70160,50.003,2012-03-12,The Hunger Games,7.2,21435
204,"[28, 12, 16, 10751, 35]",9502,114.109,2008-06-04,Kung Fu Panda,7.28,11201
205,"[28, 53]",245891,99.493,2014-10-22,John Wick,7.4,18655
206,"[18, 28, 36]",14756,22.939,2008-12-12,Ip Man,7.751,3642
207,"[12, 28, 878]",299536,301.378,2018-04-25,Avengers: Infinity War,8.246,28876
208,"[14, 12]",12445,139.703,2011-07-12,Harry Potter and the Deathly Hallows: Part 2,8.098,19967
209,"[12, 14]",675,121.808,2007-07-08,Harry Potter and the Order of the Phoenix,7.7,18906
210,"[16, 28, 878, 10770]",16237,46.028,2006-09-15,Teen Titans: Trouble in Tokyo,7.8,371
211,"[16, 10751, 12, 18, 35]",150540,226.112,2015-06-09,Inside Out,7.9,20314
212,"[9648, 53, 18]",210577,114.341,2014-10-01,Gone Girl,7.892,18095
213,"[35, 18, 10749, 10402]",313369,67.669,2016-11-29,La La Land,7.902,16330
214,"[28, 12, 878]",157350,55.559,2014-03-14,Divergent,6.918,12493
215,"[35, 80]",337404,87.048,2021-05-26,Cruella,8.026,8981
216,"[18, 35]",350,88.07,2006-06-29,The Devil Wears Prada,7.4,11653
217,"[28, 18, 12]",98,77.123,2000-05-04,Gladiator,8.216,17833
218,"[14, 16, 12]",4935,110.525,2004-09-09,Howl's Moving Castle,8.409,9443
219,"[878, 12]",438631,649.159,2021-09-15,Dune,7.779,11617
220,"[14, 18, 10752]",1417,179.385,2006-10-10,Pan's Labyrinth,7.76,10210
221,"[18, 35, 53]",930564,61.348,2023-11-16,Saltburn,7.1,1982
222,"[28, 12, 16, 10751, 35]",9502,114.109,2008-06-04,Kung Fu Panda,7.28,11201
223,"[16, 18, 12, 14]",916224,69.658,2022-11-11,Suzume,7.993,1113
224,"[53, 9648]",591,47.452,2006-05-17,The Da Vinci Code,6.725,9026
225,"[16, 10751, 12, 14, 35]",502356,238.439,2023-04-05,The Super Mario Bros. Movie,7.676,8420
226,"[16, 28, 12, 878]",569094,187.181,2023-05-31,Spider-Man: Across the Spider-Verse,8.366,6265
227,"[12, 878, 28]",299534,240.886,2019-04-24,Avengers: Endgame,8.255,24868
228,"[28, 16, 35, 10751]",268531,35.015,2017-06-01,Captain Underpants: The First Epic Movie,6.238,1148
229,"[10749, 14, 16]",3933,84.877,2005-09-12,Corpse Bride,7.553,8757
230,"[12, 28, 878]",11,548.205,1977-05-25,Star Wars,8.2,19997
231,"[35, 10749]",2642,27.383,2002-12-19,Two Weeks Notice,6.356,1971
232,"[35, 10749]",1049638,21.353,2023-03-17,Rye Lane,7.098,173
233,"[35, 10749]",508101,22.569,2019-06-14,Plus One,6.948,316
234,"[27, 18, 9648]",530385,62.694,2019-07-03,Midsommar,7.162,6729
235,"[18, 10749]",666277,72.273,2023-06-02,Past Lives,7.801,1292
236,"[10749, 35]",513576,21.928,2019-05-31,Always Be My Maybe,6.647,1280
237,"[18, 12, 878]",286217,86.645,2015-09-30,The Martian,7.7,19212
238,"[28, 878]",557,111.432,2002-05-01,Spider-Man,7.3,18408
239,"[12, 10751, 16, 28, 35]",177572,131.083,2014-10-24,Big Hero 6,7.7,15202
240,"[28, 878, 12]",1726,172.535,2008-04-30,Iron Man,7.644,25736
241,"[10751, 16, 878, 12]",10386,64.353,1999-08-06,The Iron Giant,7.941,5354
242,"[16, 28, 12, 878]",324857,113.278,2018-12-06,Spider-Man: Into the Spider-Verse,8.404,14998
243,"[16, 28, 12, 35, 10751, 878]",523777,25.285,2018-09-07,Next Gen,6.9,735
244,"[12, 35, 878]",105,107.051,1985-07-03,Back to the Future,8.317,19288
245,"[18, 10749, 878]",274870,235.401,2016-12-21,Passengers,6.9,12873
246,[],555879,3.195,1998-12-31,Matrix,6.9,26
247,"[16, 18]",83389,34.233,2011-07-16,From Up on Poppy Hill,7.5,1668
248,"[35, 28, 80]",453127,22.569,2017-08-09,Midnight Runners,7.5,198
249,"[36, 18]",1187743,23.811,2023-12-25,GomBurZa,8.0,1
250,"[14, 16, 12]",4935,110.525,2004-09-09,Howl's Moving Castle,8.409,9443
251,"[16, 10751, 14]",57737,23.617,2011-03-01,Barbie: A Fairy Secret,6.8,474
252,"[14, 16, 12]",4935,110.525,2004-09-09,Howl's Moving Castle,8.409,9443
253,"[18, 35]",20453,52.737,2009-12-23,3 Idiots,7.991,2270
254,"[14, 16, 12]",4935,110.525,2004-09-09,Howl's Moving Castle,8.409,9443
255,"[16, 10751, 12, 14]",109445,107.936,2013-11-20,Frozen,7.2,16069
256,"[16, 35, 10751, 14]",568124,150.981,2021-10-13,Encanto,7.6,9159
257,[35],673593,155.458,2024-01-10,Mean Girls,6.115,375
258,"[16, 28, 14]",810693,80.986,2021-12-24,Jujutsu Kaisen 0,8.198,1279
259,"[16, 28, 14]",810693,80.986,2021-12-24,Jujutsu Kaisen 0,8.198,1279
260,[35],16985,28.304,2009-04-28,Legally Blondes,5.7,247
261,[99],435092,4.194,2015-07-01,Birdman,3.167,5
262,"[18, 36, 10752]",857,93.699,1998-07-24,Saving Private Ryan,8.213,15296
263,"[12, 18, 878]",157336,459.175,2014-11-05,Interstellar,8.434,34340
264,"[18, 10749]",453,85.427,2001-12-14,A Beautiful Mind,7.857,9897
265,"[18, 36, 10752]",424,101.365,1993-12-15,Schindler's List,8.567,15379
266,"[878, 28, 53]",180,45.275,2002-06-20,Minority Report,7.347,8393
267,"[18, 80]",278,155.715,1994-09-23,The Shawshank Redemption,8.705,26163
268,"[35, 18]",840430,106.457,2023-10-27,The Holdovers,7.7,1206
269,"[35, 18, 10749]",13,185.115,1994-06-23,Forrest Gump,8.475,26605
270,"[18, 28, 80, 53]",155,128.536,2008-07-16,The Dark Knight,8.515,31935
271,"[12, 14, 28]",121,103.919,2002-12-18,The Lord of the Rings: The Two Towers,8.395,21149
272,"[35, 10749]",8835,66.642,2001-07-13,Legally Blonde,6.755,3808
273,"[18, 10749]",4348,79.759,2005-09-16,Pride & Prejudice,8.08,7772
274,"[28, 18, 53]",1016346,15.513,2023-08-25,MR-9: Do or Die,5.5,2
275,"[28, 53, 878]",280,126.02,1991-07-03,Terminator 2: Judgment Day,8.115,12367
276,"[35, 10749]",556678,51.657,2020-02-13,Emma.,7.0,1653
277,"[12, 14]",674,133.333,2005-11-16,Harry Potter and the Goblet of Fire,7.814,20080
278,"[28, 80, 53]",10498,26.044,1993-03-19,Point of No Return,6.2,667
279,"[28, 878]",603,575.344,1999-03-31,The Matrix,8.215,24875
280,"[878, 12, 14]",70160,50.003,2012-03-12,The Hunger Games,7.2,21435
281,"[16, 10751, 12, 18, 35]",150540,226.112,2015-06-09,Inside Out,7.9,20314
282,"[16, 10751, 10402, 14, 35]",901362,139.292,2023-10-12,Trolls Band Together,7.343,758
283,"[35, 10749]",8835,66.642,2001-07-13,Legally Blonde,6.755,3808
284,"[10749, 18]",222935,60.276,2014-05-16,The Fault in Our Stars,7.596,10907
285,"[35, 10402, 10749]",114150,43.471,2012-09-28,Pitch Perfect,7.292,6380
286,"[14, 16, 10751]",51739,52.208,2010-07-16,The Secret World of Arrietty,7.656,2705
287,"[35, 12]",346698,569.353,2023-07-19,Barbie,7.1,8238
288,"[16, 35, 10751, 14, 10749]",976573,186.248,2023-06-14,Elemental,7.657,4020
289,"[35, 10749]",1824,55.391,2004-02-13,50 First Dates,6.9,6954
290,"[28, 12, 878, 53]",135397,89.53,2015-06-06,Jurassic World,6.688,19937
291,"[16, 28, 12, 878, 14]",768744,70.599,2021-08-06,My Hero Academia: World Heroes' Mission,7.571,487
292,"[12, 14]",671,200.839,2001-11-16,Harry Potter and the Philosopher's Stone,7.913,26544
