char,movie,mbti,votes
Яна,Трудные подростки,ENFP,19 Pdb Votes
Pia,The Celebration (Dogme 1 : Festen),XXXX,4 Pdb Votes
Yuan Xiangqin,Fall in Love at First Kiss (2019),ENFP,14 Pdb Votes
Tessa Abbott-Quayle,The Constant Gardener (2005),ENFP,11 Pdb Votes
Frankie,Boss Baby (Franchise),ENFP,10 Pdb Votes
Alan Denado,The Call (2013),ENFP,4 Pdb Votes
Gloria,Dead Poets Society (1989),XXXX,2 Pdb Votes
Mario Ruoppolo,The Postman (1994) (Il Postino),ENFP,5 Pdb Votes
Éponine Thénardier,Les Miserables (2012),ENFP,56 Pdb Votes
Mortimer Brewster,Arsenic and Old Lace,ENFP,18 Pdb Votes
Penny Moore,This Is Where I Leave You (2014),ENFP,8 Pdb Votes
Lorraine Conyers,Goosebumps (2015),ENFP,6 Pdb Votes
Hunter,Blockers (2018),ENFP,15 Pdb Votes
Ben “Finn” Finnegan,Fool’s Gold (2008),ENFP,16 Pdb Votes
Pope Sweet Jesus,Norbit (2007),ENFP,15 Pdb Votes
Petey Jones,Remember the Titans,ENFP,6 Pdb Votes
"Hunter ""Patch"" Adams",Patch Adams,ENFP,47 Pdb Votes
Captain Underpants,Captain Underpants (movie),ENFP,36 Pdb Votes
Ludwig Dieter,Army of the Dead / Army of Thieves (2021),ENFP,80 Pdb Votes
Brooke,Mistress America (2015),ENFP,24 Pdb Votes
Jenny Blake,The Rocketeer (1991),ENFP,7 Pdb Votes
Do Myung-hee,The Witch: Part 1. The Subversion,ENFP,30 Pdb Votes
Luo Xiaohei (Hei),The Legend of Hei (2019),ENFP,42 Pdb Votes
Duck,The Big Bad Fox and Other Tales... (2017),ESFP,1 Pdb Vote
Fox,The Big Bad Fox and Other Tales... (2017),XXXX,31 Pdb Votes
The Sorcerer's Apprentice,Walt Disney's Fantasia (1940),ENFP,15 Pdb Votes
Izzy Moonbow,My Little Pony: A New Generation (2021),ENFP,508 Pdb Votes
Anne Boleyn,Anne Of The Thousand Days,XXXX,31 Pdb Votes
Ainbo,Ainbo: Spirit of the Amazon (2021),ENFP,8 Pdb Votes
Claire,Alex Strangelove (2018),ENFP,18 Pdb Votes
Cipollino,Cipollino,ENFP,44 Pdb Votes
The Tramp,City Lights (1931),ENFP,20 Pdb Votes
Cheburashka,Cheburashka,ENFP,50 Pdb Votes
Dan Mercer,6 Years,ENFP,10 Pdb Votes
Razzle,Suburbia (1984),ENFP,2 Pdb Votes
Chico,Beverly Hills Chihuahua,ENFP,14 Pdb Votes
Isis,"Daddy, I'm a Zombie",ENFP,24 Pdb Votes
Lida,Operation Y and Shurik's Other Adventures,ENFP,9 Pdb Votes
Tinkles,Hotel Transylvania (2012),ENFP,16 Pdb Votes
The Willie Brothers,Home on the Range (2004),XXXX,8 Pdb Votes
Princess Aubray,Barbie in Rock 'N Royals (2015),ENFP,9 Pdb Votes
Mark,The Map of Tiny Perfect Things (2021),ENFP,60 Pdb Votes
Vera Philips,The Edge of Love (2008),ENFP,38 Pdb Votes
Abby,The Ramen Girl,ENFP,6 Pdb Votes
Tallie,The World to Come (2020),ENFP,33 Pdb Votes
Michelangelo,Teenage Mutant Ninja Turtles (2014),ENFP,54 Pdb Votes
Rachel Scott,I’m Not Ashamed,ENFP,31 Pdb Votes
Samantha,Ted,ENFP,30 Pdb Votes
Nina Souza,O Doutrinador,ENFP,8 Pdb Votes
Robin Van Der Hook,The Place Beyond the Pines (2012),ENFP,14 Pdb Votes
Aditi Khanna,Yeh Jawaani Hai Deewani,ENFP,20 Pdb Votes
Gink,Friend Zone (2019),ENFP,22 Pdb Votes
Diya Kapoor,Baar Baar Dekho,ENFP,5 Pdb Votes
Frank,Old School (2003),ENFP,8 Pdb Votes
Les,Bring It On (franchise),ENFP,3 Pdb Votes
Floriane,Water Lilies (Naissance des Pieuvres),ENFP,70 Pdb Votes
Esmarelda Villalobos,Pulp Fiction (1994),ENFP,61 Pdb Votes
Craig Robinson,This Is the End (2013),ENFP,27 Pdb Votes
Agrado,All About My Mother,ENFP,28 Pdb Votes
Dawn Betterman,The Croods (Franchise),ENFP,119 Pdb Votes
Desmond Poppy,Nativity (2009),ENFP,37 Pdb Votes
Hurley,G-Force (2009),ENFP,13 Pdb Votes
Isabelle,Life In A Year,ENFP,73 Pdb Votes
Chang Wan,Happy Together,ENFP,58 Pdb Votes
Charlie Calvin,The Santa Clause (trilogy),ENFP,66 Pdb Votes
Morf Vandewalt,Velvet Buzzsaw (2019),ENFP,26 Pdb Votes
Buratino,The Adventures of Buratino (Priklyucheniya Buratino; 1976),ENFP,48 Pdb Votes
