char,movie,mbti,votes
Leyna,Where Hands Touch (2018),XXXX,19 Pdb Votes
Heo Mina,Tazza: The Hidden Card,XXXX,12 Pdb Votes
Logan Thibault,The Lucky One (2012),ISFP,12 Pdb Votes
Alvin Straight,The Straight Story,ISFP,22 Pdb Votes
Phil,Madagascar (Franchise),ISFP,42 Pdb Votes
Steve McKenna,The Mechanic,ISFP,4 Pdb Votes
Chutney Windham,Legally Blonde (2001),ISFP,51 Pdb Votes
Kostos Dounas,The Sisterhood of the Traveling Pants (2005),ISFP,13 Pdb Votes
Bo Larson,Dumplin’ (2018),ISFP,12 Pdb Votes
Sarah Carter,The Descent,ISFP,34 Pdb Votes
Severine Serizy (Belle De Jour),Belle De Jour (1967),ISFP,33 Pdb Votes
Myra,Waterloo Bridge,ISFP,15 Pdb Votes
Robyn Goodfellowe,Wolfwalkers (2020),ISFP,172 Pdb Votes
Nina Papas,Wrong Turn 2,ISFP,40 Pdb Votes
Billy Lenz,Black Christmas (2006),ISFP,22 Pdb Votes
Anna Barton,Damage (1992),ISFP,23 Pdb Votes
"George Boleyn, Viscount Rochford",The Other Boleyn Girl,ISFP,6 Pdb Votes
Karna,Mahabharat,ISFP,19 Pdb Votes
Blobby,Hotel Transylvania (2012),ISFP,29 Pdb Votes
John,WALL-E (2008),ISFP,16 Pdb Votes
Cherie Currie,The Runaways (2010),ISFP,42 Pdb Votes
Courtney Rawlinson,American Psycho (2000),ISFP,44 Pdb Votes
Fred Haise,Apollo 13 (1995),XXXX,3 Pdb Votes
Huckleberry Finn,Tom Sawyer (1973),ISFP,7 Pdb Votes
Terry Malloy,On the Waterfront (1954),ISFP,39 Pdb Votes
Abigail Mortimer,The Falling,ISFP,6 Pdb Votes
Julio,Y Tu Mamá También – Lust for Life,ISFP,30 Pdb Votes
Isi,Isi and Ossi,ISFP,28 Pdb Votes
Wesley Gibson,Wanted (2008),ISFP,173 Pdb Votes
Tera,Terrifier,ISFP,60 Pdb Votes
Lazzaro Felice,Happy as Lazzaro,ISFP,39 Pdb Votes
Luna,Heart (2006),ISFP,13 Pdb Votes
Keira,Barbie: The Princess And The Popstar,ISFP,148 Pdb Votes
Laurie Strode,Halloween (Rob Zombie),ISFP,11 Pdb Votes
Michael Myers,Halloween (Rob Zombie),ISFP,42 Pdb Votes
Rodrick Heffley,Diary of a Wimpy Kid: The Long Haul,ISFP,28 Pdb Votes
