,char,movie,mbti,votes
324,Terminator T-800 (Original Model),Terminator,ISTJ,104 Pdb Votes
325,"Alvin ""Al"" Marsh",It (2017),ISTJ,50 Pdb Votes
326,Rachel Ferrier,War of the Worlds (2005),ISTJ,51 Pdb Votes
327,Raymond Babbitt,Rain Man (1988),ISTJ,169 Pdb Votes
328,Chief Inspector Jones,The Tourist (2010),ISTJ,8 Pdb Votes
329,Jack Crawford,Red Dragon (2002),XXXX,3 Pdb Votes
330,Lobot,Star Wars,ISTJ,29 Pdb Votes
331,George Wilson,Dennis the Menace (1993),ISTJ,12 Pdb Votes
332,Arthur Abbott,The Holiday (2006),ISTJ,33 Pdb Votes
333,Kirby,The Brave Little Toaster (1987),ISTJ,18 Pdb Votes
334,Joseph Aloisius Ratzinger / Pope Benedict XVI,The Two Popes (2019),ISTJ,49 Pdb Votes
335,Luca Brasi,The Godfather (1972),ISTJ,43 Pdb Votes
336,Wiglaf,Beowulf,ISTJ,13 Pdb Votes
337,Arnold French,The Departed (2006),ISTJ,36 Pdb Votes
338,Salvatore “Sal” Tessio,The Godfather (1972),ISTJ,40 Pdb Votes
339,Joe,The Ledge (2011),XXXX,7 Pdb Votes
340,Jacob Thrombey,Knives Out (2019),ISTJ,223 Pdb Votes
341,Lee Iacocca,Ford v Ferrari / Le Mans '66 (2019),ISTJ,33 Pdb Votes
342,Lockdown,Transformers (Bayverse),ISTJ,114 Pdb Votes
343,Bill Boggs,Edward Scissorhands (1990),ISTJ,64 Pdb Votes
344,Walt Thrombey,Knives Out (2019),ISTJ,118 Pdb Votes
345,"Joe Bauers ""Not Sure""",Idiocracy (2006),ISTJ,55 Pdb Votes
346,Stanley Dwight,Rocketman (2019),ISTJ,14 Pdb Votes
347,Dr. Josef Klempere,Suspiria (2018),ISTJ,40 Pdb Votes
348,Memphis,Happy Feet (2006-2011),ISTJ,18 Pdb Votes
349,Chuck Noland,Cast Away (2000),ISTJ,146 Pdb Votes
350,Bernard,Megamind (2010),ISTJ,180 Pdb Votes
351,Queen Clarisse Renaldi,The Princess Diaries (2001),ISTJ,161 Pdb Votes
352,William Foster,Falling Down (1993),ISTJ,232 Pdb Votes
353,David,The Lobster (2015),ISTJ,93 Pdb Votes
354,Itzhak Stern,Schindler's List (1993),ISTJ,82 Pdb Votes
355,Van Pelt,Jumanji (1995),ISTJ,27 Pdb Votes
356,Sean Devine,Mystic River (2003),ISTJ,30 Pdb Votes
357,Alex Tchenkov,Anna (2019),ISTJ,28 Pdb Votes
358,Yan Naing Lee,Rush Hour (Franchise),ISTJ,188 Pdb Votes
359,Marcus,John Wick,ISTJ,56 Pdb Votes
360,Rebecca Doppelmeyer,Ghost World (2001),ISTJ,73 Pdb Votes
361,Walt Kowalski,Gran Torino (2008),ISTJ,317 Pdb Votes
362,Andrew Brandt,Equilibrium (2002),ISTJ,44 Pdb Votes
363,Dave Buznik,Anger Management (2003),ISTJ,32 Pdb Votes
364,Brett,Pulp Fiction (1994),ISTJ,102 Pdb Votes
365,Bob Hauk,Escape from New York (1981),ISTJ,13 Pdb Votes
366,Bill Andersen,Inside Out (Franchise),ISTJ,361 Pdb Votes
367,Eustace Clarence Scrubb,The Chronicles of Narnia (Film Trilogy),ISTJ,120 Pdb Votes
368,Lin Mae,The Great Wall (2016),ISTJ,15 Pdb Votes
369,Tsu'tey,Avatar (Franchise),ISTJ,74 Pdb Votes
370,Dilios,300,ISTJ,20 Pdb Votes
371,Kyle,Home (2015),ISTJ,23 Pdb Votes
372,Robert Philip,Enchanted (2007),ISTJ,238 Pdb Votes
373,Holley Shiftwell,Cars (Franchise),ISTJ,53 Pdb Votes
374,Walter One,Alien,ISTJ,37 Pdb Votes
375,Jack Byrnes,Meet the Parents (2000) / Little Fockers (2010),ISTJ,80 Pdb Votes
