,id,person_mbti,mbti_test,character,movie
796,46,INFJ,I forgot,Emma Woodhouse,Emma (Gwyneth Paltrow Version)
296,46,INFJ,I forgot,Sarah Connor,Terminator 2
46,46,INFJ,I forgot,Elle Woods,Legally Blonde
297,47,ENFP,sakinorva.net,Elle Woods,Legally Blonde
1047,47,ENFP,sakinorva.net,Arrietty,The Secret World of Arrietty
922,47,ENFP,sakinorva.net,Veneer,Trolls Band Together
422,47,ENFP,sakinorva.net,Chanel Oberlin,Scream Queens
1172,47,ENFP,sakinorva.net,Benji,Pitch Perfect
547,47,ENFP,sakinorva.net,Wade,Elemental
172,47,ENFP,sakinorva.net,Henry Roth,50 first dates
797,47,ENFP,sakinorva.net,Weird Barbie,Barbie the Movie
672,47,ENFP,sakinorva.net,Augustus,The Fault in Our Stars
47,47,ENFP,sakinorva.net,Joy,Inside Out
173,48,INTJ,16Personalities,Blue,Jurassic World
423,48,INTJ,16Personalities,Benji,Mission: Impossible
298,48,INTJ,16Personalities,Bakugo,/My Hero Academia
48,48,INTJ,16Personalities,Hermione,Harry Potter
49,49,ENTJ,Cognitive functions self-typing,Cobb,Inception
299,49,ENTJ,Cognitive functions self-typing,Hobart Brown,Spider-man: Across the Spider-Verse
424,49,ENTJ,Cognitive functions self-typing,Han Lue,The Fast and the Furious: Tokyo Drift
174,49,ENTJ,Cognitive functions self-typing,Baby,Baby Driver
50,50,ISTP,Cognitive functions self-typing,Jack Frost,Rise of The Guardians
175,50,ISTP,Cognitive functions self-typing,Hawkeye,Avengers: Age Of Ultron
300,50,ISTP,Cognitive functions self-typing,12th Doctor,Twice Upon a Time
425,50,ISTP,Cognitive functions self-typing,The Flash,Justice League: Crisis on Infinite Earths
551,51,ISTJ,Cognitive functions self-typing,Justine,melancholia 
176,51,ISTJ,Cognitive functions self-typing,Dani,Midsommar
801,51,ISTJ,Cognitive functions self-typing,Gary,Licorice Pizza
426,51,ISTJ,Cognitive functions self-typing,Miranda,the devil wears prada
676,51,ISTJ,Cognitive functions self-typing,Lady Bird,Lady Bird
301,51,ISTJ,Cognitive functions self-typing,Amy,gone girl 
51,51,ISTJ,Cognitive functions self-typing,Summer,500 days of summer
427,52,ISFJ,16Personalities,Captain America,Avengers
302,52,ISFJ,16Personalities,Obi-Wan,Star Wars
177,52,ISFJ,16Personalities,Alice,Alice in Wonderland (Disney Cartoon Movie)
52,52,ISFJ,16Personalities,Will Turner,Pirates of the Caribbean
53,53,ISFJ,Voice recording by proffesional typists,Forest gump,Forest Gump
428,53,ISFJ,Voice recording by proffesional typists,Ferdinand the bull,ferdinand the bull original movie
303,53,ISFJ,Voice recording by proffesional typists,Roman Roy,succession
678,53,ISFJ,Voice recording by proffesional typists,Gale , breaking bad s3
553,53,ISFJ,Voice recording by proffesional typists,Obi wan kenobi , Star Wars
178,53,ISFJ,Voice recording by proffesional typists,Tyrion Lannister,Game of Thrones (not a movie ik)
54,54,ISTJ,I honestly don't remember but I get ISTJ every time so,Ellen Ripley,Alien
679,54,ISTJ,I honestly don't remember but I get ISTJ every time so,"Sarah Connor, Terminator",
304,54,ISTJ,I honestly don't remember but I get ISTJ every time so,Rita,Edge of Tomorrow
179,54,ISTJ,I honestly don't remember but I get ISTJ every time so,Obi-Wan Kenobi,Star Wars
429,54,ISTJ,I honestly don't remember but I get ISTJ every time so,The Dude,The Big Lebowski
554,54,ISTJ,I honestly don't remember but I get ISTJ every time so,Miller,Event Horizon
805,55,ISFJ,16Personalities,George Bailey,It's A Wonderful Life
680,55,ISFJ,16Personalities,Robin Hood,Robin Hood
305,55,ISFJ,16Personalities,Aragorn,The Lord of the Rings
1055,55,ISFJ,16Personalities,Rick O'Connell,The Mummy
55,55,ISFJ,16Personalities,Westley,The Princess Bride
430,55,ISFJ,16Personalities,Dastan,Prince of Persia: The Sands of Time
555,55,ISFJ,16Personalities,Jack Callaghan,While You Were Sleeping
1180,55,ISFJ,16Personalities,Henry Tilney,Northanger Abbey
180,55,ISFJ,16Personalities,Korso,Titan A.E.
930,55,ISFJ,16Personalities,Jake 'Hangman' Seresin,Top Gun: Maverick
56,56,INTP,michaelcaloz.com,Klaus,Klaus
181,56,INTP,michaelcaloz.com,Rango,Rango
