char,movie,mbti,votes
Halil İbrahim,Recep İvedik 4,INFP,3 Pdb Votes
Devon,She's Out of My League,INFP,3 Pdb Votes
Kawa,Mosul (2019),XXXX,5 Pdb Votes
Dominic,Think Like a Man (2012),INFP,17 Pdb Votes
Ariane Chavasse,Love in the Afternoon,INFP,15 Pdb Votes
Christine Daaé,The Phantom of the Opera (1925),INFP,10 Pdb Votes
Good Po,Kung Fu Panda (Franchise),INFP,2 Pdb Votes
Robin Feld,Pig (2021),INFP,62 Pdb Votes
Lilac,Barbie and the Magic of Pegasus (2005),INFP,14 Pdb Votes
Antonio Madrigal,Encanto (2021),INFP,611 Pdb Votes
Lin Wen-ching,A City of Sadness,INFP,2 Pdb Votes
The Accompanist,Annette (2021),INFP,14 Pdb Votes
Pearl,Finding Nemo (Franchise),INFP,21 Pdb Votes
La Llorona (The Curse Of La Llorona),The Conjuring,INFP,39 Pdb Votes
Mitsuo Hori,Noroi: The Curse (2005),INFP,16 Pdb Votes
Christian,The Celebration (Dogme 1 : Festen),INFP,17 Pdb Votes
Alfred Packer,Cannibal! The Musical,INFP,5 Pdb Votes
Heloise,Stealing Heaven (1988),INFP,6 Pdb Votes
Alan Bosley,Remember the Titans,INFP,4 Pdb Votes
Tracy,Mistress America (2015),XXXX,20 Pdb Votes
Harriet M. Welsch,Harriet The Spy (1996),INFP,35 Pdb Votes
Bess McNeill,Breaking the Waves (1996),INFP,34 Pdb Votes
Elvira Tepes,The Vampir Schwestern,INFP,21 Pdb Votes
Maria,West Side Story (2021),INFP,107 Pdb Votes
Wong Chia-chi,"Lust, Caution (2007)",INFP,62 Pdb Votes
Jim,Blue Jay(2016),INFP,12 Pdb Votes
Nullah,Australia (2008),INFP,2 Pdb Votes
Princess Alexa,Barbie and the Secret Door,INFP,117 Pdb Votes
Swankie,Nomadland (2020),INFP,20 Pdb Votes
Natre,Shutter (2004),INFP,2 Pdb Votes
Sheila,Suburbia (1984),INFP,3 Pdb Votes
Rebecca,Cirque du Freak: The Vampire's Assistant (2009),INFP,7 Pdb Votes
Marion,Wings of Desire,INFP,27 Pdb Votes
John Klein,The Mothman Prophecies (2002),INFP,6 Pdb Votes
Romeo Montague,Romeo + Juliet (1996),INFP,154 Pdb Votes
Margaret,The Map of Tiny Perfect Things (2021),INFP,100 Pdb Votes
May Dove Canady,May (2002),INFP,83 Pdb Votes
Christine Daae,Phantom of The Opera: At The Royal Albert Hall,INFP,40 Pdb Votes
