char,movie,mbti,votes
Judas Iscariot,The Last Temptation of Christ (1988),ISTP,7 Pdb Votes
Dog,The Big Bad Fox and Other Tales... (2017),ISTP,9 Pdb Votes
Isla,The Discovery (2017),ISTP,10 Pdb Votes
Ed Crane,The Man Who Wasn't There,ISTP,22 Pdb Votes
Drover,Australia (2008),ISTP,6 Pdb Votes
Chuck,Dogville,ISTP,11 Pdb Votes
Skinner,Suburbia (1984),ISTP,3 Pdb Votes
Thomas Stall,A History of Violence,ISTP,28 Pdb Votes
Markus,Riders of Justice (Retfærdighedens ryttere),ISTP,25 Pdb Votes
Peter Falk,Wings of Desire,ISTP,4 Pdb Votes
Lyolik,The Diamond Arm (1969),ISTP,4 Pdb Votes
"Saraya ""Paige"" Bevis",Fighting with My Family (2019),ISTP,34 Pdb Votes
Sloane,Barbie in Rock 'N Royals (2015),ISTP,30 Pdb Votes
Garth Volbeck,Ferris Bueller's Day Off (1986),ISTP,102 Pdb Votes
Casper,Kids (1995),ISTP,9 Pdb Votes
Nica Pierce,Chucky,ISTP,36 Pdb Votes
Jakob Toretto,The Fast and the Furious (Film Franchise),ISTP,36 Pdb Votes
Duncan Vizla,Polar,ISTP,68 Pdb Votes
Corky,Bound (1996),ISTP,160 Pdb Votes
Lafayette,The Aristocats (1970),ISTP,21 Pdb Votes
Raizo,Ninja Assassin,ISTP,28 Pdb Votes
Preston,Wallace and Gromit,ISTP,13 Pdb Votes
Doon Harrow,City Of Ember,ISTP,15 Pdb Votes
Lai Yiu-Fai,Happy Together,ISTP,112 Pdb Votes
Lunga,Bacurau (2019),ISTP,28 Pdb Votes
Pacote,Bacurau (2019),ISTP,19 Pdb Votes
Crystal Creasey,The Hunt (2020),ISTP,97 Pdb Votes
Erin Harson,You're Next,ISTP,91 Pdb Votes
Det. Lt. Frank Bullitt,Bullitt (1968),ISTP,5 Pdb Votes
Chloe Sherman,Run (2020),ISTP,170 Pdb Votes
Josh,Megan Is Missing (2011),ISTP,35 Pdb Votes
Blissfield Butcher,Freaky (2020),ISTP,22 Pdb Votes
Itsuki Fujii (male),Love Letter (1995),ISTP,35 Pdb Votes
John,American Graffiti (1973),ISTP,15 Pdb Votes
Wong Chi-ming,Fallen Angels (Do Lok Tin Si) (1995),ISTP,290 Pdb Votes
Luke,The Ritual,ISTP,34 Pdb Votes
Michael,Mean Streets (1973),ISTP,16 Pdb Votes
Clyde Barrow,Bonnie and Clyde (1967),ISTP,29 Pdb Votes
Rui Antonio Shinozaki,Kimi no Me ga Toikakete Iru (Your Eyes Tell),ISTP,43 Pdb Votes
Jeong-seok,Peninsula (2020),ISTP,41 Pdb Votes
Joan Jett,The Runaways (2010),ISTP,41 Pdb Votes
Skull Crawlers,Kong: Skull Island (2017),ISTP,16 Pdb Votes
David Van Patten,American Psycho (2000),ISTP,43 Pdb Votes
Nick Jones,House of Wax (2005),ISTP,79 Pdb Votes
Ossi,Isi and Ossi,ISTP,29 Pdb Votes
The Creeper,Jeepers Creepers,ISTP,87 Pdb Votes
Frankie Carbone,Goodfellas (1990),ISTP,32 Pdb Votes
Patty,She's Out of My League,XXXX,4 Pdb Votes
Tyler,The Peanut Butter Falcon (2019),ISTP,26 Pdb Votes
Dallas,Below her mouth,ISTP,69 Pdb Votes
The Skull,Scarface (1983),ISTP,26 Pdb Votes
Dawson Cole,The Best of Me (2014),ISTP,20 Pdb Votes
Jake Green,Revolver (2005),ISTP,15 Pdb Votes
Aquata,The Little Mermaid (1989),ISTP,38 Pdb Votes
Donald,Pitch Perfect (Series),ISTP,18 Pdb Votes
Vincent,Over The Hedge (2006),ISTP,68 Pdb Votes
Dwayne LaFontant,Over The Hedge (2006),ISTP,41 Pdb Votes
Mia Allen,Evil Dead Series,ISTP,69 Pdb Votes
Mor'du,Brave (2012),ISTP,50 Pdb Votes
Dwight McCarthy,Sin City (franchise),ISTP,24 Pdb Votes
Xiao Bei,Better Days (2019),ISTP,123 Pdb Votes
Tyler Rake,Extraction (2020),ISTP,156 Pdb Votes
Pepita,Coco (2017),ISTP,27 Pdb Votes
Gabriel,Blood and Chocolate (2007),ISTP,16 Pdb Votes
Lara Croft (Jolie),Lara Croft: Tomb Raider (2001),ISTP,111 Pdb Votes
Snot-Rod,Cars (Franchise),ISTP,11 Pdb Votes
Aaron Cross,Jason Bourne,ISTP,16 Pdb Votes
Miharu,The Platform / El Hoyo (2020),ISTP,76 Pdb Votes
Jill McBain,Once Upon a Time in the West (1968),ISTP,30 Pdb Votes
Harmonica,Once Upon a Time in the West (1968),ISTP,58 Pdb Votes
Chris Redfield,Resident Evil,ISTP,22 Pdb Votes
Mikaela Banes,Transformers (Bayverse),ISTP,167 Pdb Votes
Riley,Eighth Grade (2018),ISTP,11 Pdb Votes
Katya,Die Hard,ISTP,9 Pdb Votes
Obesandjo,District 9 (2009),ISTP,18 Pdb Votes
Elwood Blues,The Blues Brothers (1980),ISTP,41 Pdb Votes
Arnold,Spy Kids (2001),ISTP,13 Pdb Votes
"Øystein ""Euronymous"" Aarseth",Lords of Chaos (2018),ISTP,153 Pdb Votes
Mason Freeland,Thirteen (2003),ISTP,94 Pdb Votes
Kim Pine,Scott Pilgrim vs. the World (2010),ISTP,269 Pdb Votes
Major Mira Killian / Motoko Kusanagi,Ghost in the Shell (2017),ISTP,49 Pdb Votes
"Jack, AKA, Killer Bean",Killer Bean Forever (2009),ISTP,185 Pdb Votes
Michelle,10 Cloverfield Lane (2016),ISTP,86 Pdb Votes
Iorek Byrnison,The Golden Compass (2007),XXXX,19 Pdb Votes
Willie Soke,Bad Santa (2003- 2016),ISTP,61 Pdb Votes
Tobey Marshall,Need for Speed (2014),ISTP,24 Pdb Votes
Missy Pantone,Bring It On (franchise),ISTP,119 Pdb Votes
Mickey Knox,Natural Born Killers (1994),ISTP,55 Pdb Votes
Terkels Father,Terkel in Trouble (Terkel i knibe; 2004),ISTP,16 Pdb Votes
Horace Badun,One Hundred and One Dalmatians (1961),ISTP,15 Pdb Votes
Marshal Zane Cooper,Maverick (1994),ISTP,7 Pdb Votes
Cindy Nelson,Some Kind of Wonderful (1987),ISTP,4 Pdb Votes
