char,movie,mbti,votes
Ben Stone,The Family Stone,ENTP,13 Pdb Votes
Marie Foster,The Man in the Moon (1991),XXXX,1 Pdb Vote
Peker Mengen,Kolonya Cumhuriyeti,XXXX,4 Pdb Votes
"Bob ""Drillbit"" Taylor",Drillbit Taylor (2008),XXXX,21 Pdb Votes
Tyler Maxwell,Chrissa Stands Strong (2009),ENTP,5 Pdb Votes
"Irwin ""Fletch"" Fletcher",Fletch (1985),ENTP,19 Pdb Votes
School of Moonfish,Finding Nemo (Franchise),ENTP,13 Pdb Votes
Cedric,Think Like a Man (2012),XXXX,15 Pdb Votes
Richard Harrington,Dead End (2003),XXXX,6 Pdb Votes
Carnival Barker,Despicable Me (Franchise),ENTP,39 Pdb Votes
Julian,Less Than Zero,ENTP,10 Pdb Votes
Leti,Bring It On: All or Nothing (2006),ENTP,16 Pdb Votes
The Zone,Stalker (1979) (Сталкер),ENTP,35 Pdb Votes
Keith,Keith (2008),ENTP,13 Pdb Votes
Ye Ye,Over the Moon (2020),ENTP,2 Pdb Votes
Hortensia,Matilda (1996),ENTP,30 Pdb Votes
Heather Watkins,Fear Street (Franchise),ENTP,129 Pdb Votes
Hildy Johnson,His girl Friday,ENTP,26 Pdb Votes
Peter Pan,Peter Pan & Wendy (2021),ENTP,19 Pdb Votes
Danny Boodman,La leggenda del pianista sull'oceano,ENTP,5 Pdb Votes
"Jonathan ""The Duke"" Mardukas",Midnight Run,ENTP,12 Pdb Votes
Simon Kalivoda,Fear Street (Franchise),ENTP,430 Pdb Votes
Gwigongja,The Witch: Part 1. The Subversion,ENTP,85 Pdb Votes
Gianni Chiellini,Transporter 2,ENTP,9 Pdb Votes
Joshua Joyce,Transformers (Bayverse),ENTP,18 Pdb Votes
Harry J. Sonneborn,The Founder (2016),ENTP,23 Pdb Votes
Dr. Mark Bowman,The Mitchells vs. the Machines (2021),ENTP,140 Pdb Votes
Anthony Evans,The Father (2020),ENTP,65 Pdb Votes
Shapoklyak,Cheburashka,ENTP,40 Pdb Votes
Satan,The Passion of the Christ,ENTP,30 Pdb Votes
Jack Diddley,Suburbia (1984),ESTP,2 Pdb Votes
Lennart,Riders of Justice (Retfærdighedens ryttere),ENTP,20 Pdb Votes
Ian,The Spy Next Door (2010),ENTP,20 Pdb Votes
Johnny,Goat Story Franchise,XXXX,4 Pdb Votes
