char,movie,mbti,votes
Kevin,Fred: The Movie,ESTP,11 Pdb Votes
Frank Wheeler,Revolutionary Road (2008),ESTP,14 Pdb Votes
Jin-tae,Mother (2009 Madeo),ESTP,13 Pdb Votes
Theo,Escape Room (2019),ESTP,23 Pdb Votes
Lord of Da Bling,Let it Shine,ESTP,23 Pdb Votes
Jesse Arista,Paranormal Activity,ESTP,8 Pdb Votes
Bombshell,Free Guy (2021),ESTP,18 Pdb Votes
Taylan,Recep İvedik 4,ESTP,10 Pdb Votes
Moreno,Training Day (2001),ESTP,2 Pdb Votes
"Lt. Jake ""Hangman"" Seresin",Top Gun Series,ESTP,205 Pdb Votes
Rotxo,Avatar (Franchise),ESTP,71 Pdb Votes
Aonung,Avatar (Franchise),ESTP,86 Pdb Votes
Hubert Bonisseur de la Bath,OSS 117,ESTP,43 Pdb Votes
Yesica,Perfume de violetas,ESTP,21 Pdb Votes
Nadia Monroy,The Final Destination (2009),ESTP,4 Pdb Votes
Dandy Crow,Dumbo (1941),ESTP,15 Pdb Votes
Steve Huberbrecht,August: Osage County (2013),ESTP,4 Pdb Votes
The Fan,Titane (2021),ESTP,2 Pdb Votes
Highway Patrolman,Fear and Loathing in Las Vegas (1998),ESTP,6 Pdb Votes
Riff,West Side Story (2021),ESTP,113 Pdb Votes
"Teddy ""Theodore Roosevelt"" Brewster",Arsenic and Old Lace,ESTP,13 Pdb Votes
Seymour,Happy Feet (2006-2011),ESTP,3 Pdb Votes
Tina Kapoor,Mujhse Dosti Karoge!,ESTP,21 Pdb Votes
Shaw,Open Season (2006),ESTP,90 Pdb Votes
Drake Stone,The Sorcerer’s Apprentice (2010),ESTP,8 Pdb Votes
Skylar Lewis,Girl vs. Monster(2012),ESTP,18 Pdb Votes
"Hugo ""Hache"" Olivera",Three Steps Above Heaven (Tres metros sobre el cielo),ESTP,68 Pdb Votes
Greta Keene,It (2017),ESTP,51 Pdb Votes
Dolph,But I'm a Cheerleader (1999),ESTP,11 Pdb Votes
Thneed,The Lorax (2012),ESTP,66 Pdb Votes
Lola,Transporter 2,ESTP,9 Pdb Votes
Griff Tannen,Back to the Future (Series),ESTP,51 Pdb Votes
Takanawa,Wasabi,ESTP,3 Pdb Votes
Nicky,Mikey and Nicky,ESTP,15 Pdb Votes
Jake Wyler,Not Another Teen Movie,ESTP,38 Pdb Votes
Alex Fletcher,Music and Lyrics (2007),ESTP,26 Pdb Votes
Olivia Star,The Last Button,ESTP,54 Pdb Votes
John “Ace” Merrill,Stand by Me (1986),ESTP,78 Pdb Votes
Anton Poldark,The Spy Next Door (2010),XXXX,18 Pdb Votes
Rachel,Coyote Ugly (2000),ESTP,17 Pdb Votes
Loc Dog,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),ESTP,32 Pdb Votes
Fedya the Boor,Operation Y and Shurik's Other Adventures,ESTP,19 Pdb Votes
M / Marcus,Warm Bodies (2013),ESTP,17 Pdb Votes
Elia Codogno,The Taming of the Scoundrel,ESTP,12 Pdb Votes
