char,movie,mbti,votes
Sergeant Tibbs,One Hundred and One Dalmatians (1961),ISTJ,14 Pdb Votes
Nick Hendricks,Horrible Bosses (2011),ISTJ,70 Pdb Votes
Eugene Felsnick,Grease (1978),ISTJ,14 Pdb Votes
Terminator T-800 (Original Model),Terminator,ISTJ,104 Pdb Votes
"Alvin ""Al"" Marsh",It (2017),ISTJ,50 Pdb Votes
Rachel Ferrier,War of the Worlds (2005),ISTJ,51 Pdb Votes
Raymond Babbitt,Rain Man (1988),ISTJ,169 Pdb Votes
Chief Inspector Jones,The Tourist (2010),ISTJ,8 Pdb Votes
Jack Crawford,Red Dragon (2002),XXXX,3 Pdb Votes
Lobot,Star Wars,ISTJ,29 Pdb Votes
George Wilson,Dennis the Menace (1993),ISTJ,12 Pdb Votes
Arthur Abbott,The Holiday (2006),ISTJ,33 Pdb Votes
Kirby,The Brave Little Toaster (1987),ISTJ,18 Pdb Votes
Joseph Aloisius Ratzinger / Pope Benedict XVI,The Two Popes (2019),ISTJ,49 Pdb Votes
Luca Brasi,The Godfather (1972),ISTJ,43 Pdb Votes
Wiglaf,Beowulf,ISTJ,13 Pdb Votes
Arnold French,The Departed (2006),ISTJ,36 Pdb Votes
Salvatore “Sal” Tessio,The Godfather (1972),ISTJ,40 Pdb Votes
Joe,The Ledge (2011),XXXX,7 Pdb Votes
Jacob Thrombey,Knives Out (2019),ISTJ,223 Pdb Votes
Lee Iacocca,Ford v Ferrari / Le Mans '66 (2019),ISTJ,33 Pdb Votes
Lockdown,Transformers (Bayverse),ISTJ,114 Pdb Votes
Bill Boggs,Edward Scissorhands (1990),ISTJ,64 Pdb Votes
Walt Thrombey,Knives Out (2019),ISTJ,118 Pdb Votes
"Joe Bauers ""Not Sure""",Idiocracy (2006),ISTJ,55 Pdb Votes
Stanley Dwight,Rocketman (2019),ISTJ,14 Pdb Votes
Dr. Josef Klempere,Suspiria (2018),ISTJ,40 Pdb Votes
Memphis,Happy Feet (2006-2011),ISTJ,18 Pdb Votes
Chuck Noland,Cast Away (2000),ISTJ,146 Pdb Votes
Bernard,Megamind (2010),ISTJ,180 Pdb Votes
Queen Clarisse Renaldi,The Princess Diaries (2001),ISTJ,161 Pdb Votes
William Foster,Falling Down (1993),ISTJ,232 Pdb Votes
David,The Lobster (2015),ISTJ,93 Pdb Votes
Itzhak Stern,Schindler's List (1993),ISTJ,82 Pdb Votes
Van Pelt,Jumanji (1995),ISTJ,27 Pdb Votes
Sean Devine,Mystic River (2003),ISTJ,30 Pdb Votes
Alex Tchenkov,Anna (2019),ISTJ,28 Pdb Votes
Yan Naing Lee,Rush Hour (Franchise),ISTJ,188 Pdb Votes
Marcus,John Wick,ISTJ,56 Pdb Votes
Rebecca Doppelmeyer,Ghost World (2001),ISTJ,73 Pdb Votes
Walt Kowalski,Gran Torino (2008),ISTJ,317 Pdb Votes
Andrew Brandt,Equilibrium (2002),ISTJ,44 Pdb Votes
Dave Buznik,Anger Management (2003),ISTJ,32 Pdb Votes
Brett,Pulp Fiction (1994),ISTJ,102 Pdb Votes
Bob Hauk,Escape from New York (1981),ISTJ,13 Pdb Votes
Bill Andersen,Inside Out (Franchise),ISTJ,361 Pdb Votes
Eustace Clarence Scrubb,The Chronicles of Narnia (Film Trilogy),ISTJ,120 Pdb Votes
Lin Mae,The Great Wall (2016),ISTJ,15 Pdb Votes
Tsu'tey,Avatar (Franchise),ISTJ,74 Pdb Votes
Dilios,300,ISTJ,20 Pdb Votes
Kyle,Home (2015),ISTJ,23 Pdb Votes
Robert Philip,Enchanted (2007),ISTJ,238 Pdb Votes
Holley Shiftwell,Cars (Franchise),ISTJ,53 Pdb Votes
Walter One,Alien,ISTJ,37 Pdb Votes
Jack Byrnes,Meet the Parents (2000) / Little Fockers (2010),ISTJ,80 Pdb Votes
Harry Hart / Galahad,Kingsman (Franchise),ISTJ,200 Pdb Votes
Adelaide Wilson,Us (2019),ISTJ,215 Pdb Votes
Lorenzo Anello,A Bronx Tale (1993),ISTJ,43 Pdb Votes
Norman,Sing (Franchise),ISTJ,49 Pdb Votes
Firmus Piett,Star Wars,ISTJ,46 Pdb Votes
Agent Lacey,The Interview (2014),ISTJ,15 Pdb Votes
Spots,Isle of Dogs (2018),ISTJ,63 Pdb Votes
Virgil Earp,Tombstone (1993),ISTJ,41 Pdb Votes
Tia Russell,Uncle Buck (1989),ISTJ,26 Pdb Votes
Hal Spencer,12 Strong (2018),ISTJ,4 Pdb Votes
M-O,WALL-E (2008),ISTJ,229 Pdb Votes
Mac Eliot,Predator,ISTJ,37 Pdb Votes
Kyûzô,Seven Samurai (1954) (七人の侍),ISTJ,51 Pdb Votes
Eva Khatchadourian,We Need to Talk About Kevin (2011),ISTJ,98 Pdb Votes
Thomas Burke,Final Destination 2 (2003),ISTJ,19 Pdb Votes
Grug,The Croods (Franchise),ISTJ,323 Pdb Votes
Maurice,Madagascar (Franchise),ISTJ,375 Pdb Votes
Elinor Dashwood,Sense and Sensibility (1995),ISTJ,89 Pdb Votes
Kocoum,Pocahontas (1995),ISTJ,102 Pdb Votes
Bad Cop,The Lego Movie (Franchise),ISTJ,93 Pdb Votes
Colonel Frank Fitts,American Beauty (1999),ISTJ,193 Pdb Votes
Agent Rick Dicker,The Incredibles (Franchise),ISTJ,60 Pdb Votes
