char,movie,mbti,votes
"Rick Riker ""Dragonfly""",Superhero Movie (2008),INTP,27 Pdb Votes
Alva,Klaus (2019),INTP,148 Pdb Votes
Pino/Noki/Kio,Red Shoes & The Seven Dwarfs (2019),INTP,15 Pdb Votes
Mr. Bean,Mr. Bean's Holiday (2007),INTP,43 Pdb Votes
Stu,What We Do in the Shadows (2014),INTP,30 Pdb Votes
Mülayim Sert,Korkusuz Korkak (1979),INTP,33 Pdb Votes
Park Da-song,Parasite (2019),INTP,344 Pdb Votes
Professor Digory Kirke,The Chronicles of Narnia (Film Trilogy),INTP,83 Pdb Votes
Seth Brundle,The Fly (1986),INTP,80 Pdb Votes
"Eddie ""Scrap Iron"" Dupris",Million Dollar Baby (2004),INTP,32 Pdb Votes
Davis,Demolition (2015),INTP,145 Pdb Votes
Livingston Dell,Ocean's Eleven Trilogy,INTP,33 Pdb Votes
Brandon Breyer,BrightBurn (2019),INTP,81 Pdb Votes
Michael Bolton,Office Space (1999),INTP,80 Pdb Votes
MInion,Spy Kids (2001),INTP,10 Pdb Votes
Stephen Hawking,The Theory of Everything (2014),INTP,201 Pdb Votes
Toast the Knowing,Mad Max (1979),INTP,23 Pdb Votes
IG-88,Star Wars,INTP,50 Pdb Votes
Dave Hodgman,The First Time (2012),INTP,23 Pdb Votes
Maurice,Beauty and the Beast (2017),INTP,40 Pdb Votes
David Abbott,Just Like Heaven (2005),INTP,28 Pdb Votes
Gray Mitchell,Jurassic Park / Jurassic World (Film Franchise),INTP,91 Pdb Votes
"John ""Scottie"" Ferguson",Vertigo (1958),INTP,109 Pdb Votes
PK,PK (2014),INTP,65 Pdb Votes
Ellen Ripley Clone 8,Alien,INTP,27 Pdb Votes
Chief Inspector Hubbard,Dial M for Murder (1954),INTP,28 Pdb Votes
Joe Black,Meet Joe Black (1998),INTP,171 Pdb Votes
Maurice,Beauty and the Beast (Franchise),INTP,319 Pdb Votes
Lance Bishop,Alien,INTP,60 Pdb Votes
Ron Slater,Dazed and Confused (1993),INTP,56 Pdb Votes
Belt,The Croods (Franchise),INTP,36 Pdb Votes
Amita,Ocean's 8 (2018),INTP,49 Pdb Votes
Dr. Egon Spengler,Ghostbusters (1984),INTP,201 Pdb Votes
"Benjamin ""Ben"" Braddock",The Graduate (1967),INTP,160 Pdb Votes
John Darling,Peter Pan (1953),INTP,86 Pdb Votes
Arthur Weasley,Harry Potter / Wizarding World Films,INTP,820 Pdb Votes
Spencer Gilpin,Jumanji (Reboot),INTP,202 Pdb Votes
Mort Rainey,Secret Window (2004),INTP,110 Pdb Votes
"Dustin James ""DJ"" Walterson",Monster House (2006),INTP,175 Pdb Votes
Edwin Flagg,What Ever Happened to Baby Jane? (1962),INTP,11 Pdb Votes
James Halliday,Ready Player One (2018),INTP,114 Pdb Votes
Mike McDermott,Rounders (1998),INTP,29 Pdb Votes
Thaddeus Bradley,Now You See Me (Franchise),INTP,80 Pdb Votes
Abby Yates,Ghostbusters (2016),INTP,61 Pdb Votes
Scott Evil,Austin Powers,INTP,89 Pdb Votes
Stan Fink,Eternal Sunshine of the Spotless Mind (2004),INTP,81 Pdb Votes
Merlin,The Sword in the Stone (1963),INTP,231 Pdb Votes
David Worth,Cube (1997),INTP,74 Pdb Votes
Robert Langdon,The Da Vinci Code,INTP,155 Pdb Votes
Dr. Nefario,Despicable Me (Franchise),INTP,404 Pdb Votes
Nikolai Romilly,Interstellar (2014),INTP,120 Pdb Votes
Kai,Vorstadtkrokodile 2,XXXX,1 Pdb Vote
Tewrism,Ed.so family,INTP,2 Pdb Votes
Guido Contini,Nine,INTP,2 Pdb Votes
Aaron Altman,Broadcast News,XXXX,1 Pdb Vote
Jon Rubin,Greetings (1968),INTP,10 Pdb Votes
Chigira Sui,"And Yet, You Are So Sweet (2023)",INTP,2 Pdb Votes
Dika,Marmut Merah Jambu,INTP,3 Pdb Votes
Carlos Sánchez Rivera,The Orphanage,INTP,3 Pdb Votes
Joe Larson,Operator (2016 film),INTP,4 Pdb Votes
Doug Davis,Cooties (2014),INTP,2 Pdb Votes
Tina,Kitty the Killer (2023),INTP,3 Pdb Votes
Karl Hungus,The Big Lebowski (1998),XXXX,1 Pdb Vote
Dr. Ed Grant,Zoom (2006),XXXX,1 Pdb Vote
Henry Clay,The Little Colonel (1935),XXXX,1 Pdb Vote
Zak,A Wobots Christmas,INTP,3 Pdb Votes
Tenley,SHHH,INTP,1 Pdb Vote
Paul,HumanistVampire Seeking Consenting Suicidal Person,XXXX,1 Pdb Vote
Shadow Freddy,Five Nights at Freddy's (Movie),XXXX,10 Pdb Votes
"""Mother""",Looney Tunes: Back in Action,INTP,1 Pdb Vote
Karen,Saving Bikini Bottom: The Sandy Cheeks Movie,XXXX,6 Pdb Votes
Nuran,A Ay (Oh Moon!),INTP,3 Pdb Votes
Nick Powell,The Invisible (2007),INTP,13 Pdb Votes
