char,movie,mbti,votes
Katie Deauxma,Kick-Ass (2010),ESFJ,6 Pdb Votes
Dennis,Monty Python and the Holy Grail (1975),ESFJ,17 Pdb Votes
Karen Barclay,Chucky,ESFJ,27 Pdb Votes
Jacy Farrow,The Last Picture Show (1971),ESFJ,9 Pdb Votes
Andrew,The Huntsman: Winter's War,ESFJ,4 Pdb Votes
Marsha Krinkle,Boss Baby (Franchise),ESFJ,12 Pdb Votes
Mme Gorman,Summer of 85 (2020),ESFJ,20 Pdb Votes
Richard Kneeland,13 going on 30 (2004),ESFJ,15 Pdb Votes
Linda,The Wedding Singer (1998),ESFJ,12 Pdb Votes
Rosa,All About My Mother,ESFJ,22 Pdb Votes
Katrina Van Tassel,Disney's The Legend of Sleepy Hollow,ESFJ,27 Pdb Votes
Mrs. Lackey,Mysterious Skin (2004),ESFJ,5 Pdb Votes
Charlie Young,Fallen Angels (Do Lok Tin Si) (1995),ESFJ,91 Pdb Votes
Forasteiro,Bacurau (2019),ESFJ,4 Pdb Votes
Forasteira,Bacurau (2019),ESFJ,4 Pdb Votes
Paul Davison,You're Next,ESTJ,1 Pdb Vote
Becky Barnes,The Sorcerer’s Apprentice (2010),ESFJ,11 Pdb Votes
Agent Rupert Anderson,Mississippi Burning,ESFJ,26 Pdb Votes
Claire Wyman,Letters to Juliet,ESFJ,23 Pdb Votes
Margaux Needler,The Addams Family (2019),ESFJ,68 Pdb Votes
Jenny,Eden Lake,ESFJ,14 Pdb Votes
Lily,Faster (2010),ESFJ,10 Pdb Votes
José Carioca,The Three Caballeros (1944),ESFJ,54 Pdb Votes
Susan Evans,The Good Son (1993),ESFJ,11 Pdb Votes
Marla,PLAYMOBIL: THE MOVIE (2019),ESFJ,15 Pdb Votes
Violet Valentine,Hubie Halloween (2020),ESFJ,11 Pdb Votes
Justice Strauss,Lemony Snicket's A Series of Unfortunate Events (2004),ESFJ,11 Pdb Votes
Mr Hopkins,The Falling,ESFJ,2 Pdb Votes
Blair Willows,Barbie: Princess Charm School,ESFJ,264 Pdb Votes
Marina,The Pebble and the Penguin (1995),ESFJ,19 Pdb Votes
Lauren Reynolds,Blended (2014),ESFJ,39 Pdb Votes
Fa Zhou,Mulan (Franchise),ESFJ,114 Pdb Votes
Savannah,Dear John,ESFJ,21 Pdb Votes
Barbarella,Barbarella,ESFJ,6 Pdb Votes
Rachel Carruthers,"Halloween 4,5,6 Timeline",ESFJ,12 Pdb Votes
Jim Neiman,Whiplash (2014),ESFJ,46 Pdb Votes
Marisa Ventura,Maid in Manhattan (2002),ESFJ,28 Pdb Votes
Wendy Darling,Peter Pan (2003),ESFJ,114 Pdb Votes
Brenda Bunson,Sausage Party (2016),ESFJ,37 Pdb Votes
Grace Trevelyan Grey,Fifty Shades of Grey (2015),ESFJ,15 Pdb Votes
Sam,Casablanca (1942),ESFJ,37 Pdb Votes
Martha,The Secret Garden (1993),ESFJ,39 Pdb Votes
"Mitchell McClurg ""Monkey""",Hot Wheels World Race / AcceleRacers,ESFJ,24 Pdb Votes
Cloe,Bratz: The Movie (2007),ESFJ,35 Pdb Votes
Astrid,Blood and Chocolate (2007),ESFJ,11 Pdb Votes
Deputy So and So,Sinister Series,ESFJ,38 Pdb Votes
Peaches,The Fundamentals of Caring (2016),ESFJ,20 Pdb Votes
Danielle de Barbarac,Ever After: A Cinderella Story,ESFJ,103 Pdb Votes
Sarah Miller/Betty Mills,A Fall from Grace (2020),XXXX,6 Pdb Votes
Cleo,Pinocchio (1940),ESFJ,41 Pdb Votes
Amity,Divergent (2014),ESFJ,338 Pdb Votes
Holly Hills,Diary of a Wimpy Kid (Series),ESFJ,108 Pdb Votes
The Gingerbread Man “Gingy”,Shrek (Franchise),ESFJ,201 Pdb Votes
Nora Baker,Cheaper by the Dozen (Franchise),ESFJ,17 Pdb Votes
Torrance Shipman,Bring It On (franchise),ESFJ,115 Pdb Votes
Susan Heffley,Diary of a Wimpy Kid (Series),ESFJ,130 Pdb Votes
Eleanor Little,Stuart Little,ESFJ,15 Pdb Votes
Anita Radcliffe,One Hundred and One Dalmatians (1961),ESFJ,53 Pdb Votes
Ladybug,James and the Giant Peach (1996),ESFJ,16 Pdb Votes
Amy Szalinski,"Honey, I...",XXXX,11 Pdb Votes
Amanda Jones,Some Kind of Wonderful (1987),ESFJ,7 Pdb Votes
Richard Jewell,Richard Jewell (2019),ESFJ,37 Pdb Votes
Patty Simcox,Grease (1978),ESFJ,14 Pdb Votes
Catherine “Kitty” Bennet,Pride and Prejudice (2005),ESFJ,81 Pdb Votes
Amanda Buckman,The Addams Family,ESFJ,118 Pdb Votes
Friend Owl,Bambi (1942),ESFJ,17 Pdb Votes
General Jan Dodonna,Star Wars,ESFJ,11 Pdb Votes
Wikus van de Merwe,District 9 (2009),ESFJ,50 Pdb Votes
Peter McCallister,Home Alone,ESFJ,49 Pdb Votes
Halima,Frozen (Franchise),ESFJ,18 Pdb Votes
Sister Abigail,Orphan (2009-2022),ESFJ,31 Pdb Votes
Lauren Scott,This Means War (2012),ESFJ,15 Pdb Votes
Noah Levenstein,American Pie,ESFJ,56 Pdb Votes
Blaire Lily,Unfriended (2014),ESFJ,44 Pdb Votes
Lady Tremaine,Cinderella (2015),ESFJ,120 Pdb Votes
Brooks Rattigan,The Perfect Date (2019),ESFJ,65 Pdb Votes
McKenzie,500 Days of Summer (2009),ESFJ,61 Pdb Votes
Melody,Barbie and the Diamond Castle (2008),ESFJ,97 Pdb Votes
Princess Liana (Barbie),Barbie and the Diamond Castle (2008),ESFJ,178 Pdb Votes
Amy,Bad Moms (2016),ESFJ,46 Pdb Votes
Lilith Beresford,Awake (2007),XXXX,14 Pdb Votes
Alma,Persona (1966),ESFJ,161 Pdb Votes
Berrada,John Wick,XXXX,8 Pdb Votes
Audrey Billings,Transporter,ESFJ,4 Pdb Votes
Joseph Goebbels,Inglourious Basterds (2009),ESFJ,56 Pdb Votes
Ellie Staple,Glass (2019),ESFJ,39 Pdb Votes
Sharon Tate,Once Upon a Time in... Hollywood (2019),ESFJ,223 Pdb Votes
Jennifer Parker,Back to the Future (Series),ESFJ,71 Pdb Votes
Tanya,Snowpiercer (2013),ESFJ,22 Pdb Votes
Dalia,Aladdin (2019),ESFJ,38 Pdb Votes
Lucy Bobby,Talladega Nights: The Ballad of Ricky Bobby (2006),ESFJ,9 Pdb Votes
LeFou,Beauty and the Beast (2017),ESFJ,44 Pdb Votes
Rosita,Sing (Franchise),ESFJ,221 Pdb Votes
Elle Evans,The Kissing Booth (Film Trilogy),ESFJ,447 Pdb Votes
Lady Kluck,Robin Hood (1973),ESFJ,52 Pdb Votes
Madame Adelaide Bonfamille,The Aristocats (1970),ESFJ,40 Pdb Votes
Roger Murtaugh,Lethal Weapon (Movie Series),ESFJ,27 Pdb Votes
Audrey Dunn,Unbreakable (2000),ESFJ,11 Pdb Votes
"Samantha ""Sam"" Button",The Perks of Being a Wallflower (2012),ESFJ,462 Pdb Votes
Katherine “Kate” Kavanagh,Fifty Shades of Grey (2015),ESFJ,36 Pdb Votes
LaShawn Malone,Brokeback Mountain (2005),ESFJ,12 Pdb Votes
Barbie,Toy Story (Franchise),ESFJ,274 Pdb Votes
Kronk,The Emperor's New Groove (2000),ESFJ,808 Pdb Votes
Ellie,Ice Age (Franchise),ESFJ,187 Pdb Votes
Gomez Addams,The Addams Family,ESFJ,507 Pdb Votes
Frank,28 Days Later (2002),ESFJ,42 Pdb Votes
Minion,Megamind (2010),ESFJ,345 Pdb Votes
Sarah Borden,The Prestige (2006),ESFJ,33 Pdb Votes
Meryl Burbank,The Truman Show (1998),ESFJ,155 Pdb Votes
Nick Jakoby,Bright (2017),ESFJ,17 Pdb Votes
Charles Bingley,Pride and Prejudice (2005),ESFJ,281 Pdb Votes
Other Father,Coraline (2009),ESFJ,296 Pdb Votes
Mei Mei,Kung Fu Panda (Franchise),ESFJ,64 Pdb Votes
Claire Benoit,Split (2016),ESFJ,49 Pdb Votes
Molly Weasley,Harry Potter / Wizarding World Films,ESFJ,628 Pdb Votes
Saul Bloom,Ocean's Eleven Trilogy,ESFJ,29 Pdb Votes
Juror #6,12 Angry Men (1957),ESFJ,126 Pdb Votes
Juror #1,12 Angry Men (1957),ESFJ,177 Pdb Votes
Mayor of Halloween Town,The Nightmare Before Christmas (1993),ESFJ,150 Pdb Votes
Spencer Hill,Danielle Steel's Star (1993),INFJ,1 Pdb Vote
Signora Vaccari,"Salò, or the 120 days of Sodom",ESFJ,8 Pdb Votes
Андрей Князев,Король и Шут,ESFJ,4 Pdb Votes
Relja,The Skinning (Šišanje),ESFJ,1 Pdb Vote
Onofre,Reflexões de um Liquidificador (2010),ESFJ,5 Pdb Votes
Alan Robin,TCU/Winnie-the-Pooh: Blood and Honey (Franchise),ESFJ,5 Pdb Votes
Beth,Love Lies Bleeding,ESFJ,2 Pdb Votes
Paulina Cabos,Matando cabos (2004),ISFJ,2 Pdb Votes
Frankie,Road House (2024),ESFJ,16 Pdb Votes
Boomer,Wonder Park (2019),XXXX,1 Pdb Vote
Alice,TCU/Winnie-the-Pooh: Blood and Honey (Franchise),ESFJ,5 Pdb Votes
Hanasaki Miyu,"And Yet, You Are So Sweet (2023)",XXXX,1 Pdb Vote
Simone Adamley,Ferris Bueller's Day Off (1986),ESFJ,3 Pdb Votes
Lira,Operation Wedding (Movie),ESFP,2 Pdb Votes
Ina,Marmut Merah Jambu,ESFJ,2 Pdb Votes
Carla Bernaschi,Il Capitale Umano (2013),XXXX,1 Pdb Vote
Padre 2,The Orphanage,XXXX,3 Pdb Votes
Beth Burns,Pieces of April,ESFJ,2 Pdb Votes
Mitch,Saw Series (2004),ESFJ,2 Pdb Votes
Game Sawit,Ed.so family,ESFJ,5 Pdb Votes
Beth,Love Lies Bleeding (2024),ESFJ,7 Pdb Votes
Pilar,The Big Lebowski (1998),XXXX,1 Pdb Vote
Coffee Shop Waitress,The Big Lebowski (1998),XXXX,1 Pdb Vote
Younger Cop,The Big Lebowski (1998),XXXX,1 Pdb Vote
Amy,The Kid (2000),ESFJ,1 Pdb Vote
Caroline,The Wicked Lady (1945),ESFJ,9 Pdb Votes
Dr. Marsha Holloway,Zoom (2006),XXXX,1 Pdb Vote
Scott,TCU/Winnie-the-Pooh: Blood and Honey (Franchise),ESFJ,2 Pdb Votes
Iris,Horror,ESFJ,3 Pdb Votes
Pig,Horror,ESFJ,3 Pdb Votes
Capt. Charles T. Baker,Planet 51 (2009),ESFJ,4 Pdb Votes
Dewayne,The Blackening (2022),ESFJ,10 Pdb Votes
Sally Wheeler,School Ties (1992),XXXX,1 Pdb Vote
SpongeBob,Saving Bikini Bottom: The Sandy Cheeks Movie,XXXX,1 Pdb Vote
Renton,The Vampire Lovers (1970),XXXX,1 Pdb Vote
