char,movie,mbti,votes
James,The Invisible Man (2020),ISFJ,31 Pdb Votes
Abnegation,Divergent (2014),ISFJ,432 Pdb Votes
Queen Belle,Descendants (Franchise),ISFJ,41 Pdb Votes
Wanda Werewolf,Hotel Transylvania (2012),ISFJ,38 Pdb Votes
George Knightley,Emma. (2020),ISFJ,181 Pdb Votes
Dan,Mulholland Drive (2001),ISFJ,26 Pdb Votes
Bonnie Stevenson,Gifted (2017),ISFJ,29 Pdb Votes
Josie Geller,Never Been Kissed (1999),ISFJ,52 Pdb Votes
Nanny,One Hundred and One Dalmatians (1961),ISFJ,22 Pdb Votes
Perdita,One Hundred and One Dalmatians (1961),ISFJ,51 Pdb Votes
Ryce Newton,Beethoven,ISFJ,9 Pdb Votes
Brillo,Beethoven,ISFJ,4 Pdb Votes
Friar Tuck,The Adventures of Robin Hood (1938),ISFJ,2 Pdb Votes
Dora Orefice,Life Is Beautiful (1997),ISFJ,50 Pdb Votes
"Theresa ""Tessa"" Young",After (Film Trilogy),ISFJ,278 Pdb Votes
Shmi Skywalker Lars,Star Wars,ISFJ,73 Pdb Votes
Audrey Reede,Liar Liar (1997),ISFJ,27 Pdb Votes
Doctor John Dolittle (Eddie Murphy),Doctor Dolittle 2,XXXX,1 Pdb Vote
Ethel Tenenbaum,The Royal Tenenbaums (2001),ISFJ,62 Pdb Votes
John Brooke,Little Women (2019),ISFJ,72 Pdb Votes
Lena Kaligaris,The Sisterhood of the Traveling Pants (2005),ISFJ,72 Pdb Votes
Ursula,Beowulf,ISFJ,10 Pdb Votes
Jimmie Dimmick,Pulp Fiction (1994),ISFJ,120 Pdb Votes
Peter Miles,Ford v Ferrari / Le Mans '66 (2019),ISFJ,19 Pdb Votes
Ashlyn,Barbie In The 12 Dancing Princesses (2006),ISFJ,54 Pdb Votes
Marzia,Call Me by Your Name (2017),ISFJ,163 Pdb Votes
Ratchet,Transformers (Bayverse),ISFJ,30 Pdb Votes
Cass Sheppard,Annihilation (2018),ISFJ,35 Pdb Votes
Corporal Weaver,Antz (1998),ISFJ,28 Pdb Votes
Klaus,Klaus (2019),ISFJ,207 Pdb Votes
Terence,Tinker Bell (2008),ISFJ,203 Pdb Votes
Lily Reynolds,Thoroughbreds (2018),ISFJ,104 Pdb Votes
Mia Hall,If I Stay (2014),ISFJ,29 Pdb Votes
Jane,Descendants (Franchise),ISFJ,181 Pdb Votes
Alex Le Domas,Ready or Not (2019),ISFJ,98 Pdb Votes
Odette,Barbie of Swan Lake (2003),ISFJ,126 Pdb Votes
Princess Luciana,Barbie as the Island Princess (2007),ISFJ,131 Pdb Votes
Ozzie,Over The Hedge (2006),ISFJ,56 Pdb Votes
Penny,Over The Hedge (2006),ISFJ,17 Pdb Votes
Evangeline,Nanny McPhee (2005),ISFJ,59 Pdb Votes
"Francine ""Fran"" Parker",Dawn of the Dead (1978),ISFJ,19 Pdb Votes
Magda Gross,The Zookeeper's Wife (2017),INTP,1 Pdb Vote
Whitey,Flushed Away (2006),ISFJ,61 Pdb Votes
Elizabeth James,The Parent Trap (1998),ISFJ,116 Pdb Votes
Megan Halsey,Re-Animator (1985),ISFJ,21 Pdb Votes
Perrier LaPadite,Inglourious Basterds (2009),ISFJ,104 Pdb Votes
King of Hearts,Alice in Wonderland (1951),ISFJ,101 Pdb Votes
Bonnie Lisbon,The Virgin Suicides (2000),ISFJ,116 Pdb Votes
Marcel,Inglourious Basterds (2009),ISFJ,76 Pdb Votes
Steve Graham,Hereditary (2018),ISFJ,185 Pdb Votes
Lucy Tucci,Home (2015),ISFJ,12 Pdb Votes
Mack,Cars (Franchise),ISFJ,51 Pdb Votes
Brenda Strong,Catch Me If You Can (2002),ISFJ,111 Pdb Votes
Elizabeth Masterson,Just Like Heaven (2005),ISFJ,51 Pdb Votes
Naomi Misora,Death Note (2006),ISFJ,26 Pdb Votes
Miss Crawly,Sing (Franchise),ISFJ,79 Pdb Votes
Michael Berg,The Reader (2008),ISFJ,28 Pdb Votes
Anita,101 Dalmatians (1996),ISFJ,22 Pdb Votes
Angie,Shark Tale (2004),ISFJ,82 Pdb Votes
Morgan Earp,Tombstone (1993),ISFJ,29 Pdb Votes
Friar Tuck,Robin Hood (1973),ISFJ,48 Pdb Votes
Sandy,Grease (1978),ISFJ,274 Pdb Votes
Rita,Groundhog Day (1993),ISFJ,75 Pdb Votes
Irene,Drive (2011),ISFJ,139 Pdb Votes
Kay Adams,The Godfather (1972),ISFJ,136 Pdb Votes
Diane Court,Say Anything... (1989),ISFJ,22 Pdb Votes
Stu Price,The Hangover Trilogy,ISFJ,207 Pdb Votes
"Dwight ""Dewey"" Riley",Scream (Franchise),ISFJ,268 Pdb Votes
Mary Sanderson,Hocus Pocus (1993),ISFJ,89 Pdb Votes
Marge Sherwood,The Talented Mr. Ripley (1999),ISFJ,87 Pdb Votes
Kelly,The Rules of Attraction (2002),ISFJ,2 Pdb Votes
Beth,Cloverfield (2008),ISFJ,9 Pdb Votes
