char,movie,mbti,votes
Lamia,Stardust (2007),ESTJ,35 Pdb Votes
Pamela Charron,The Falling,ESTJ,2 Pdb Votes
Jim White,McFarland USA,ESTJ,13 Pdb Votes
"Isaiah ""Juilliard""",Work It,ESTJ,13 Pdb Votes
Abby Richter,The Ugly Truth (2009),ESTJ,56 Pdb Votes
Boris Lermontov,The Red Shoes,ESTJ,26 Pdb Votes
Woody (Black Friday Reel),Toy Story (Franchise),ESTJ,41 Pdb Votes
Ericka Van Helsing,Hotel Transylvania (2012),ESTJ,71 Pdb Votes
General X,Foodfight!,ESTJ,7 Pdb Votes
Django,Ratatouille (2007),ESTJ,142 Pdb Votes
Aleksandr Nevsky,Alexander Nevsky (1938),ESTJ,8 Pdb Votes
Mr Jang,Lucy (2014),ESTJ,32 Pdb Votes
Claire,The Babadook (2014),ESTJ,4 Pdb Votes
Dan Fuller,Zero Dark Thirty (2012),ESTJ,9 Pdb Votes
Hernán Cortés,The Road to El Dorado (2000),ESTJ,24 Pdb Votes
Captain Bill,The Pacifier (2005),ESTJ,13 Pdb Votes
Sultan Mehmed II,Dracula Untold,ESTJ,6 Pdb Votes
Bernie Kropp,The Incredibles (Franchise),ESTJ,80 Pdb Votes
Charles Dreyfus,The Pink Panther (film series),ESTJ,13 Pdb Votes
Big John Brittle,Django Unchained (2012),ESTJ,18 Pdb Votes
The Magistrate,Salò o le 120 giornate di Sodoma (1975),ESTJ,17 Pdb Votes
The Bishop,Salò o le 120 giornate di Sodoma (1975),ESTJ,21 Pdb Votes
George Wilbur,My Cousin Vinny (1992),ESTJ,9 Pdb Votes
Manute,Sin City (franchise),ESTJ,12 Pdb Votes
Senator Roark,Sin City (franchise),ESTJ,23 Pdb Votes
Raquelle,The Barbie Diaries,ESTJ,28 Pdb Votes
Volmer,A Cure for Wellness,ESTJ,34 Pdb Votes
Consuelo Baxter,The Dollars Trilogy,ESTJ,8 Pdb Votes
Thomas Perry,Dead Poets Society (1989),ESTJ,195 Pdb Votes
Gene,Wreck-It Ralph (Franchise),ESTJ,40 Pdb Votes
Evelyn Adler,Gifted (2017),ESTJ,60 Pdb Votes
Neil Craig,Remember Me (2010),ESTJ,3 Pdb Votes
Robert McKee,Adaptation (2002),ESTJ,19 Pdb Votes
Rosalind Pearson,The Gentlemen (2019),ESTJ,54 Pdb Votes
Frank Heffley,Diary of a Wimpy Kid (Series),ESTJ,285 Pdb Votes
"Augustus ""Gus"" Strauss",Never Been Kissed (1999),ESTJ,3 Pdb Votes
Colonel,One Hundred and One Dalmatians (1961),ESTJ,10 Pdb Votes
Aunt Spiker,James and the Giant Peach (1996),ESTJ,5 Pdb Votes
Cliff Nelson,Some Kind of Wonderful (1987),ESTJ,2 Pdb Votes
Madam Mumblechook,Mary and the Witch's Flower (2017),ESTJ,12 Pdb Votes
Harriet Bentley,Wild Child (2008),ESTJ,75 Pdb Votes
Landlady of Pig Sty Alley,Kung Fu Hustle (2004),ESTJ,23 Pdb Votes
Lucy Wyman,13 going on 30 (2004),ESTJ,107 Pdb Votes
Virginia,Misery (1990),XXXX,3 Pdb Votes
Georgy Zhukov,The Death Of Stalin (2017),ESTJ,71 Pdb Votes
Paula,The 40-Year-Old Virgin (2005),ESTJ,16 Pdb Votes
Molly Dunnage,The Dressmaker (2015),ESTJ,11 Pdb Votes
